,Title,Company,Rating,Location,Salary,Post_date,Extract_date,Job_url
1379,Senior Data Science Engineer |LATAM|,BairesDev,4.5,"['Colon, PA•Remote']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=1738f47c5a72fad2&fccid=29707109e86166e5&vjs=3
1380,Global HIV Data Scientist,ICF,3.4,"['Rockville, MD 20850']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=096451852563be9d&fccid=e290923a98afee94&vjs=3
1381,Instructional Data Science Design Consultant,Guidehouse,3.4,"['Crofton, MD 21114']",,5 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yLKGpcQzZ_O8bUunUZGLJ7NZnq23n8noZvwdwvk7oO-Uiu4BbxEMkijRmAi4GfpJbPNjtFCpjCOGGij-0EclKb8evY6hfSBocpOyAEv009O-9aBrPXArrLd7MuTZkQcvXhZ2s3dE7lticJaM2DT-d7FADPwjGYtLis1xvT9_Ug-BwvTanEMMiQvfQf8cMty1vK1okmImrOzuuDY35kf2NGxAjt5sNZVjfPdrbg2tciuU2hHQU1c0-aGWRi0ezNPu4dlTCLxmj9uW-pC0YIVF5sHDJlc0TgZVhxgFwzpiVqgAKE4dQoQCIGcsAtNTQe00ruyd1lBc7Z9FBlR0PbauV7-Ra1pr7YamGLmsAJv7bbllFroCjgRK8qzLC73N7-osrOYEh4uLEoqP&p=7&fvj=0&vjs=3
1382,Senior Data Scientist,Guidehouse,3.4,"['Gurley, AL 35748']",,5 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yLKGpcQzZ_O88p6qZY6rcvXK_-MbTcOrf2FOADwAyj-E9_MpcRN67xI91yb11Fk32vaEZCAjMpcnYCarryt0EfjtU1WwW3ajAKfv4iJNJXJ0-6Spid2kQ-q7w3hYedU61B1qFNVVCROnJlKcn0g3Fx1e7PiKfJEBHviw0Fu6IdQUSLSGSk3k5p88a37ODOnheNOaA6La4o9zyRoyB0m9P3zQCz1J44tCZQ2GQ-5SigCLRsC5mCCrzKBc1cckL5zoSwW3cV3nnKSEYkzeaarMCbvxTusvXJhVacaYMEkowE9iS4sdj36WGgccwGGXIoxoFhSuob2so4J-C4_PW64bNfBmOxOhaAN1gTwuJ66Fx1ltmDOAS68ARKTDr2r3-2IPmGKXgCQoBdWV&p=8&fvj=0&vjs=3
1383,SENIOR DATA SCIENTIST (GLOBAL COMMERCIAL ANALYTICS - GSM Adv...,NIKE INC,4.1,"['Beaverton, OR 97005 (Central Beaverton area)']",,2 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BoYl0jBLghHpaJBjcehw5r4JW_2qulEu_25yY9fasR_nIdB4SiY3aEXfanJFRASvmfdeyb8dZDooFD-e9wBvwtLbHWcqAUh5kDFBMkSShGTN_dJWeLmMbnjWV68Nx4R_AWTMA7rFU1oq0-ly7CUwGbZMP2vUtM5_hlo4PzIDdSKZd4NwWOjDjjDF8swovd2EUpSfmpfwwPPDJNa2mrRJx21CLCoT2iXznpK1k-pZPoL6nnHIzhxpP8wzkRNiutS3gPdeBbKYWVVGCWKjw4o5JaSQU_nDT1qbDECu4P6fi1WqQ05oC8Fmw2lY9vgC6Gt5_QXjZ4Iq0y3RJC-gh_8Hk6IYYii41GYnrLz3aDKYqTtZwq8Wv8RCDAM8fqVzgHKPuVichRUzI_Eqox-x-IENjWOVxMOo1VInwGY1T5jn9iew==&p=9&fvj=0&vjs=3
1384,"Senior Statistician, Evaluation Data Science, Apple Media Pr...",Apple,4.2,"['Seattle, WA']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=2155528a5241f94d&fccid=c1099851e9794854&vjs=3
1385,Global HIV Data Scientist,ICF,3.4,"['Rockville, MD 20850']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=096451852563be9d&fccid=e290923a98afee94&vjs=3
1386,Lead Data Science Analyst - Digital Analytics,Discover,3.9,"['Riverwoods, IL 60015']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=93fc787b8d54aa23&fccid=6ce7e0d9f67a9961&vjs=3
1387,Lead Data Science Analyst,Discover,3.9,"['Riverwoods, IL 60015']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=e87ddf5360265526&fccid=6ce7e0d9f67a9961&vjs=3
1388,"Director, Data Scientist - Corporate - US",Sysco,3.4,"['Houston, TX']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=714cfe9048af6e33&fccid=053befe8409ab9e4&vjs=3
1389,Senior Data Science Engineer |LATAM|,BairesDev,4.5,"['Colon, PA•Remote']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=1738f47c5a72fad2&fccid=29707109e86166e5&vjs=3
1390,Data Scientist - Omni Analytics,Hormel Foods,3.6,"['Austin, MN 55912']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=3db7352d58ed8278&fccid=fb297b30f70200c3&vjs=3
1391,Mid-level Data Scientist,BAE Systems,3.8,"['Washington, DC 20535 (Penn Quarter area)']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=3059df94252afa0c&fccid=bae098e9666bd225&vjs=3
1392,Global HIV Data Scientist,ICF,3.4,"['Rockville, MD 20850']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=096451852563be9d&fccid=e290923a98afee94&vjs=3
1393,"DoD Data Scientist, Managing Consultant",Guidehouse,3.4,"['Washington, DC 20036 (Downtown area)']",,5 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yLKGpcQzZ_O8incPGzsZGIPHMYrJqvFQnsdcDK_V6g7lQYkMTt2f1dTyE4rGqf-qQ6FmmljXZRKMocduXUa6OEv5j-vcYx1XEDHVKhC_HMaXscksS9iEJdGoGnnvMgMyCeWqMsRE7xxxvMw342erj_Rxz084X-PfQaWytQK5Cq1vaTrX9modbMGa8cVuaJB7mGjVRRAivlcAlvHoUZQyThK97FSpqj9LkQbsi1Ric7j9QaKfuKu8886QvWmnWIQw-UZ2fOcSF0302xlLRGh7RSV-hyQquLJ1gE-iFzXa7y1TVZ4Karml3Hf9cTM3jmuMG1y3VgAzf-ekmdbVPYXMUSQFEOKNFkVVaQJe8nk4tfKa-plBrnIc3mz0Q0B_oKCttVAawCL5cLUr&p=13&fvj=0&vjs=3
1394,Senior Data Scientist - Customer Behavior & Optimization,Verizon,3.9,"['Morris Plains, NJ 07950+49 locations']",,6 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9PxVD3LKEdooFJkbO_btSMI4M3WzYTHJabubeBgYACXJpfAF2IyaDYa-8ba0etrfXIZCP6CSKRSsHYlJL4ZjyzqaRMlSgmzwlP8YEcm_B8hRvc5Bi-R87Dgkzg_SUjNowG0UVHm40kGSy2ucNOCYX3rgk0kqsQRwVrU86H273Gjm5kB9cox7BFtJ7t-7LrXbgliR1FbLYDt2hVWRuw72D-3X3K45I87nVwrOAvZWC262N76gmRsjnk3q6DCQGMBkI24INJ9-LxO3cciL3WXCpbYeI0iA-rD_moxqcVdP_p1oCwkIMJQwx1-vy_9VSCgd9mWlISGNFrWQe2Y4hWtGduIrQnlc6tbWLf_gduuB99TvmERYiJZinjCe11ro4CKMU4XN5u9VO19QkHgLODB5vas8KS033Ko4tdWJCXexrG7v9vUMtb2VkqmgVAzcENpxXwbOuLLL35_NLaU6nwID5VImS0t8qNUhMw7-o69bQfgbKHtTp5cBMhiZYyz-4cdNkoXcFgRnNoFhxp2xryTgysTOlwQYDdZhi_BiJDbGUpg-xXvdvEatC_zca2IIXV9imHSLXq-26bflYBCnQ0jRQ37USbqbjDVo1B_8Dxk5Vg2V9qyno8wPc12XU4h4V5N4VEjIyHl7W90bB5TiCJgsh2P6waXiSOFvzxe0WBYOd46Fb3vnT0akXkvBFAKgOcQ0-0jz1Yuyp1JjfjRrtwOGYO2E2nmuAGo6Hbw_-dVzL0A==&p=2&fvj=0&vjs=3
1395,Lead Data Science Analyst - Digital Analytics,Discover,3.9,"['Riverwoods, IL 60015']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=93fc787b8d54aa23&fccid=6ce7e0d9f67a9961&vjs=3
