,Title,Company,Rating,Location,Salary,Post_date,Extract_date,Job_url
0,Senior Data Scientist,CyberCoders,3.4,"['Lake Forest, CA 92630+2 locations']",,1 day ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t4ijXWY0KagXXYtcb1hg_LCWqZgg1T7pWbwiQquib8yP6PXJ2cZsddiHXpDGYTkFeU-kPNxv54H0E2HUJchi7dwpF9UM6sD21ckv5ir1x4U8jaso1rq7CbbwEc1siQnu19cI63M18b8ho__djSEfn7M8ttmvFSJP5993fDI5EZumMyRUl712bC1KHJ5Ts9fNHOFCXni0XIivEtkEk0ZJeWrPyHxWZXpgrfl3oYv5s9Ac9dr5m4coIC51uZ_gekplvl_xE8SsCd3WHofc1qZKD-VhSBtt4TSP3PwBU0Zs2qDQPNX20fCVAqVES8gcDyyroEmsnWWdIRkOGB0SWR4bi3ny2rTIEr6wiCscdRh1WY3fqIt5xO8qQ0E4i9YhkkX5oZfcOyyUpjZIOp92xyG7T6ptCKRu3Kv3B2XjGd8ke6x9BS1qdII6re6LHOcBS87p0-y-pgCJZPPBGb1edyLqw6ykIHLbilgcINul7dGxy-Q9kpjdT1PgX8PBsZojnWwUCa3i6p_jitzDZnuqH4WnA_gLvLlkOMdzhZnSdUV-puydb6nbQDQ_Uqq7Y06U4-iNd1e_ZuC6z3U_Ww53bJ_FRsixTzogYTiMuAFmYC267CQ0-cM8bDy89craXp-MttKi8a6yT9TIfpdMStzewvXFnwKf8117BzVqK3FlHqsnCv2jTipWwwbfrYedR7p-sr8RwRtW2rfKGwrae0XahcXcIcJTqyOJW5lsVlSv6vezfWrZtwPmjzEuiRLFRovJCZVANIW8axjA07Ek2KlDeMmgUIYzF4CfWSmdRji32gpqQ8YXEfmu6q546Wvb4d53zpqdBEkrAmgtGhQbN2p6QzfoLs5TS-QGcVvryhbUeiy7uBo2ULCnY7J9T-LDoDilOfJWjDBYeZAjvzAuc515mhrKOOKZh3UVHsrnl3T69aExhVPSQ==&p=1&fvj=0&vjs=3
1,Principal Data Scientist,DISYS,3.5,"['Colorado Springs, CO 80909 (East Colorado Springs area)•Temporarily Remote']",$65 - $75 an hour,Today,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTYkY06FZEdAAtNWO-eDAfNklmfZymsMF6eFRONl7rAMN5x_2sHrqXfWPo9rHDxSMpy4M4InVbh0kUmYsWODTOjdCy2M3B9QEy7XcO3zzhYpnc-KiGh3n1-nq3LpnbvMN5DwnJ4Z7w3GxchnqX8w6OXpWs2-HOUmI_i-LjI0B1zUFynaaG6pf9XJw5F83TfZYvT9TzDbIpflKsQeKfZfDkjlKhZeD-CrvlTpCs8dUyhIAiR5usWk2HjEE6jvAtHgI05XUtJXH7RUql2jLqAgrvjfOqx4U8N-yF3EQphniMJK3oPSA-HNePrPiDYr6R54qUyfLYBTPEa5Ykqwuk8d1RQK0uJmphIsFOx7pp0jM8foUGuU-PGyV8h-zhUTopXIbOnmL4JpC_wF1no5nDma-n_UkT_gLOiI3vRZNUXBglEP1JJ2BgN5J-yctY6kwaiax_2xj1KXJsMGSBjdSimlLqmoEnIoU4RlBk0TGPd_ntMNjR4QOKdsfm-EPnH6NapvaFX4FbFMzt3g==&p=2&fvj=1&vjs=3
2,Data Scientist,Insight Global,3.9,['+1 locationRemote'],$65 - $75 an hour,3 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCobj99dZAfyuabIV-dEThHXabF8I_ncZ4XmSxTp_gBL9k0K2fh_zNk0kanbJn67AlknYLwYdkcubcMznAK96Exkd1rKCnzEn0gFKzrWpXuZHFuUJe7eWiKeWXQc5Wz1FEIYU4HwYqz3eDK4_N0ni4GsL2bcb8BJuVEz74CG5uFF3PA66uYr3uvdHoNfXZgeSasKM94HNf5BIxD57lMif_G21Vp8jRrw6Qd0aRF7RaYzlAC8vTyF4k2GEgDMbwA9rGFXcIme_FQ3SCe3LqWbYSjKhLytFg-JYjoQRRl1_-2fSp1CDlA46C-RqxMFuoKqB07VeNfb7EdVgre1dxvnwnBlhECQqKXHUzX8vXG3KUMXmSqZFytmdfB3Ywak54MuXbiXs_QZKpffsbaZkZYvWWolnBsDEw4uByHC4aHuwhRFaMzXth6Ybe4ctO8Il8nxZIVbD_d3isRyjghPhDzrmXC4=&p=3&fvj=1&vjs=3
3,Data Scientist,Pri Global Inc,,"['San Francisco, CA•Remote']",$50 - $55 an hour,3 days ago,2021-09-18,https://www.indeed.com/company/Pri-Global-Inc/jobs/Data-Scientist-696de3a652138874?fccid=c4b2671bac36a1ad&vjs=3
4,Software Engineer - Data Scientist,RefleXion Medical,3.5,"['Hayward, CA 94545 (Glen Eden area)']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=56c53f54d630758a&fccid=4ef84be60c005346&vjs=3
5,Data Scientist,Tinder,3.6,"['San Francisco, CA']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=84bc63a791b9ec79&fccid=47feb0effe4ed4f2&vjs=3
6,"MACHINE LEARNING, AWS, PYTHON-DATA SCIENTIST",Talent Search PRO,,"['San Francisco, CA']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=7881c4badc07940e&fccid=03e38d4a50ed7d67&vjs=3
7,Pricing Data Scientist/Economist,Perch,3.0,"['Boston, MA']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=2ea4f460fd8e7ba8&fccid=08211ca3b560b505&vjs=3
8,Sr. Data Scientist,omega solutions inc,3.6,"['Santa Ana, CA']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=0fe8f621f4c0a156&fccid=9e399301940ed66e&vjs=3
9,Machine Learning and Data Science Applied Scientist,Gauss Labs Inc,,"['San Jose, CA']","From $160,000 a year",2 days ago,2021-09-18,https://www.indeed.com/company/Gauss-Labs-Inc/jobs/Machine-Learning-Data-Science-Applied-Scientist-2d5b0e6670a28ebe?fccid=5e6c775bd0dd3d23&vjs=3
10,Data Scientist,T-Mobile,3.8,"['Overland Park, KS 66213']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=04bf7effdd1d7455&fccid=d124dbfd3785b597&vjs=3
11,Data Scientist,Braintrust,4.3,"['San Francisco, CA 94147 (Marina area)+1 location•Remote']",$115 - $140 an hour,4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=5bd78c3877ca26a7&fccid=cffd065f9ff9e672&vjs=3
12,Machine Learning Engineer or Data Scientist,Virtusa,,"['Jersey City, NJ•Temporarily Remote']",$60 - $65 an hour,1 day ago,2021-09-18,https://www.indeed.com/company/Virtusa/jobs/Machine-Learning-Engineer-or-Data-Scientist-78e112b71ca56da7?fccid=6b9d470cfe376aa9&vjs=3
13,Data Scientist,"View, Inc.",3.0,"['Milpitas, CA 95035']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=4526202a428f304b&fccid=7e20a5ee817dde40&vjs=3
14,Remote Data Scientist (contract),Pfizer,4.2,['+1 locationRemote'],,4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=4e7590a713871c8d&fccid=7ff126af0cd3d93b&vjs=3
15,Data Scientist/Analytics Entry Level Full Time Positions,Cummins Inc.,3.9,"['Columbus, IN+1 location•Remote']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=44ab675983c2b0fd&fccid=36ccedc5bfdf19b1&vjs=3
16,Sr. Data Scientist,Neal Analytics,3.0,['Remote'],$65 - $85 an hour,1 day ago,2021-09-18,https://www.indeed.com/company/Neal-Analytics/jobs/Senior-Data-Scientist-5ecbfe5a1106f309?fccid=a3bcc3a125bee804&vjs=3
17,Junior Data Scientist / Entry Level Data Scientist,CORMAC,3.0,['Remote'],,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=147efab4bcdbceea&fccid=bc5b9d293d9dc536&vjs=3
18,Data Scientist,Apollo Neuroscience,,['Remote'],,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=fe6c89b211ba3a5e&fccid=cc424b01c194bdf4&vjs=3
19,"Data Scientist/Cost Analyst, Intermediate","Naval Systems, Inc.",,"['Baltimore, MD+1 location']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=ea3249876b7c1748&fccid=7476132a1fbb16fc&vjs=3
20,Junior Data Scientist,"INFICON, Inc.",,"['Newton, MA 02458']",,4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=59934c5cbde67fab&fccid=7479463f4e7355a6&vjs=3
21,Data Scientist,Fidelity Investments,4.0,"['Boston, MA 02210 (South Boston area)']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=0aa7fa723c1debdb&fccid=deb234f9dd3edcea&vjs=3
22,Data Scientist,MindBridge Ai,,"['Austin, TX 73301 (St Edwards area)']",,4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=8861ffeb2d12c988&fccid=a424b2f75ffcba3a&vjs=3
23,Data Scientist - Product & Engineering,Lacework,5.0,['California•Remote'],,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=1a5909aaa560bb40&fccid=8469cd4f29c48ff5&vjs=3
24,Sr. Data Scientist/Machine Learning Engineer,Eateam inc,,['Remote'],Up to $85 an hour,2 days ago,2021-09-18,https://www.indeed.com/company/Eateam-inc/jobs/Senior-Data-Scientist-Machine-Learning-Engineer-ff26c68f63fecf14?fccid=b2ad34ca79dc3a44&vjs=3
25,Data Scientist - Product & Engineering,Lacework,5.0,['California•Remote'],,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=1a5909aaa560bb40&fccid=8469cd4f29c48ff5&vjs=3
26,Sr. Data Scientist/Machine Learning Engineer,Eateam inc,,['Remote'],Up to $85 an hour,2 days ago,2021-09-18,https://www.indeed.com/company/Eateam-inc/jobs/Senior-Data-Scientist-Machine-Learning-Engineer-ff26c68f63fecf14?fccid=b2ad34ca79dc3a44&vjs=3
27,Data Scientist,Sam's Club,3.5,"['Dallas, TX+1 location•Temporarily Remote']","$90,823 - $145,113 a year",3 days ago,2021-09-18,https://www.indeed.com/company/Sam's-Club/jobs/Data-Scientist-a8d1b7a21796aa69?fccid=f3e9855b5ce57ebe&vjs=3
28,Senior Data Scientist,Rackner,,['Remote'],,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=7b98aca6ac6c596b&fccid=07355c6f4e26f6aa&vjs=3
29,Data Scientist,Arizona State University,4.2,"['Phoenix, AZ 85004 (Central City area)']","$56,600 - $75,000 a year",3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=e1ef6561c75db7ea&fccid=b97aa9a98af93bad&vjs=3
30,GIS Data Scientist,"Liberty IT Solutions, LLC",5.0,['Remote'],,3 days ago,2021-09-18,"https://www.indeed.com/company/Liberty-IT-Solutions,-LLC/jobs/GIS-Data-Scientist-d1ad2a65a3e6d6b2?fccid=fff574e36b053186&vjs=3"
31,"Data Scientist, Proteomics",Recursion,,"['Salt Lake City, UT 84108 (East Bench area)']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=4d98df8882054851&fccid=bde4cd53d420d9b2&vjs=3
32,SENIOR DATA SCIENTIST,UniGroup,3.7,['+1 locationRemote'],,4 days ago,2021-09-18,https://www.indeed.com/company/UniGroup/jobs/Senior-Data-Scientist-2c499a271b7e627d?fccid=0557e8eb67ceafa5&vjs=3
33,Data Scientist,SOFTURA,,"['Dearborn, MI 48126']",$33 - $60 an hour,5 days ago,2021-09-18,https://www.indeed.com/company/SOFTURA/jobs/Data-Scientist-ed7e0bee4faee4db?fccid=39b279f64052d3ff&vjs=3
34,Senior Data Scientist,Analytica,3.6,"['Washington, DC 20001 (Shaw area)']",,Today,2021-09-18,https://www.indeed.com/company/Analytica/jobs/Senior-Data-Scientist-bc732889995571a4?fccid=148f97e0073dfbbd&vjs=3
35,Data Scientist,Seminole County Public Schools,4.0,"['Seminole County, FL']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=56f1608c7d8abe7a&fccid=e8c6a13d80cf530c&vjs=3
36,Data Scientist,Seminole County Public Schools,4.0,"['Seminole County, FL']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=56f1608c7d8abe7a&fccid=e8c6a13d80cf530c&vjs=3
37,Entry Level Data Scientist: 2022,IBM,3.9,"['Research Triangle Park, NC 27709']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=d9dc2b2ff8863e63&fccid=de71a49b535e21cb&vjs=3
38,Data Scientist,Insurify,,"['Cambridge, MA 02142 (East Cambridge area)']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=a2ee9d9eeef69e47&fccid=3e263cf17592f3f5&vjs=3
39,Data Scientist,Cyndx,,"['West Palm Beach, FL+1 location']",,1 day ago,2021-09-18,https://www.indeed.com/company/Cyndx/jobs/Data-Scientist-6e9662fffdf4830e?fccid=adba589e88f73995&vjs=3
40,Data Scientist - Merchandising Analytics,Nordstrom,3.9,"['Seattle, WA']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=10efa0b767d26351&fccid=68ce5c21322a81a4&vjs=3
41,Associate Data Scientist,"Dovel Technologies, LLC",,"['McLean, VA 22102•Remote']","$75,000 - $90,000 a year",2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=de50d92b29172cb8&fccid=beee618d60cfbf79&vjs=3
42,Data Scientist I - PEDSnet,Children's Hospital of Philadelphia,4.0,"['Philadelphia, PA 19146 (Graduate Hospital area)']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=35e5c100d421b8d2&fccid=af97857db3a698b1&vjs=3
43,Data Scientist,AustinCSI,3.7,"['Plano, TX 75024•Temporarily Remote']",,3 days ago,2021-09-18,https://www.indeed.com/company/AustinCSI/jobs/Data-Scientist-98a92d05a92a173e?fccid=7b72e9dc4a32c2cc&vjs=3
44,DATA SCIENTIST III,H. Lee Moffitt Cancer Center,4.0,"['Tampa, FL 33612•Remote']",,4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=9fafeabb83fe2b47&fccid=28ce112590363228&vjs=3
45,Data Scientist II,Warwick Investment Group,,['Remote'],,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=883497c38b99f482&fccid=5f91a5a521416588&vjs=3
46,Statistician/Data Scientist,Intel,4.1,"['Hillsboro, OR 97124']",,6 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=ebf9dacf666fc44f&fccid=f1374be6a45f4b8a&vjs=3
47,Data Scientist,Synergy Global Technologies Inc.,,"['Bothell, WA•Temporarily Remote']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=43bdc30bb59db030&fccid=031fe8ce740cf92b&vjs=3
48,Senior Data Scientist,Insurify,,"['Sofia, NM']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=040d0e0ccb61730a&fccid=3e263cf17592f3f5&vjs=3
49,Data Scientist I,MasterCard,4.1,"[""O'Fallon, MO 63368•Temporarily Remote""]",,5 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=3467448f8ea422ed&fccid=10b5c722d846df43&vjs=3
50,Senior Data Scientist,Insurify,,"['Sofia, NM']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=040d0e0ccb61730a&fccid=3e263cf17592f3f5&vjs=3
51,Data Scientist I,MasterCard,4.1,"[""O'Fallon, MO 63368•Temporarily Remote""]",,5 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=3467448f8ea422ed&fccid=10b5c722d846df43&vjs=3
52,"Scientist / Senior Scientist, Data Science","Flagship Pioneering, Inc.",,"['Cambridge, MA 02142 (East Cambridge area)']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=4ce62bf9db2fd8cd&fccid=22489c4990c80a96&vjs=3
53,Data Scientist (Finance) - Remote - 19498,FMK Corporation,,['Remote'],$45 an hour,1 day ago,2021-09-18,https://www.indeed.com/company/FMK-Corporation/jobs/Data-Scientist-2e70fcba908b2b72?fccid=4b2d1a4c6fc7ccf8&vjs=3
54,Data Scientist,Nousot,,['Remote'],"$120,000 - $160,000 a year",3 days ago,2021-09-18,https://www.indeed.com/company/Nousot/jobs/Data-Scientist-f3f3756e797112df?fccid=1dd31f56d0c05bb2&vjs=3
55,Data Scientist,S&P Global,3.9,"['Annapolis, MD 21401+15 locations•Remote']","$67,600 - $190,100 a year",2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=35bffe1a1cedb2d4&fccid=b716e44d2c6283e7&vjs=3
56,Senior Data Scientist,Credible,,"['San Francisco, CA 94102 (Van Ness - Civic Center area)']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=556fb292226a8709&fccid=04e8134694cdee5a&vjs=3
57,Data Scientist I,Emonics LLC,4.7,"['Menlo Park, CA•Temporarily Remote']","$100,000 - $120,000 a year",4 days ago,2021-09-18,https://www.indeed.com/company/Emonics-LLC/jobs/Data-Scientist-50756ae6e0874ed9?fccid=5275edd1f3f2b774&vjs=3
58,Data Scientist,Microsoft,4.2,"['Redmond, WA 98052 (Overlake area)+2 locations']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=421397a6fefb0c88&fccid=734cb5a01ee60f80&vjs=3
59,Data Scientist II,Pricesenz,,['Remote'],$60 - $65 an hour,1 day ago,2021-09-18,https://www.indeed.com/company/Pricesenz/jobs/Data-Scientist-f51dfc7b1b0acbcd?fccid=04f1a341eb475915&vjs=3
60,Senior Data Scientist,Netflix,3.9,"['Los Angeles, CA']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=f2e3e5eca7a33b9a&fccid=66403b30a2c0d89c&vjs=3
61,Data Scientist 2,PayPal,3.9,"['San Jose, CA 95131 (North Valley area)']",,4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=199ce11ec6650862&fccid=978d9fd9799d55a8&vjs=3
62,Data Scientist I,Resilience,4.0,"['San Diego, CA']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=03f5e7a5eea6482f&fccid=25f4759f0375513c&vjs=3
63,Data Scientist,MilliporeSigma,3.7,"['St. Louis, MO 63103•Temporarily Remote']",$35 - $38 an hour,Today,2021-09-18,https://www.indeed.com/company/MilliporeSigma/jobs/Data-Scientist-2389feda9e496328?fccid=68d0e0954a811351&vjs=3
64,Senior Game Security Data Scientist,Rockstar Games,4.0,"['San Diego, CA']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=4e646ca21e554aca&fccid=5549c6b9723b4956&vjs=3
65,Data Scientist II,Warwick Investment Group,,['Remote'],,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=883497c38b99f482&fccid=5f91a5a521416588&vjs=3
66,Statistician/Data Scientist,Intel,4.1,"['Hillsboro, OR 97124+1 location']",,6 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=ebf9dacf666fc44f&fccid=f1374be6a45f4b8a&vjs=3
67,Data Scientist,Synergy Global Technologies Inc.,,"['Bothell, WA•Temporarily Remote']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=43bdc30bb59db030&fccid=031fe8ce740cf92b&vjs=3
68,Senior Data Scientist,Insurify,,"['Sofia, NM']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=040d0e0ccb61730a&fccid=3e263cf17592f3f5&vjs=3
69,Data Scientist I,MasterCard,4.1,"[""O'Fallon, MO 63368•Temporarily Remote""]",,5 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=3467448f8ea422ed&fccid=10b5c722d846df43&vjs=3
70,"Scientist / Senior Scientist, Data Science","Flagship Pioneering, Inc.",,"['Cambridge, MA 02142 (East Cambridge area)']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=4ce62bf9db2fd8cd&fccid=22489c4990c80a96&vjs=3
71,Data Scientist (Finance) - Remote - 19498,FMK Corporation,,['Remote'],$45 an hour,1 day ago,2021-09-18,https://www.indeed.com/company/FMK-Corporation/jobs/Data-Scientist-2e70fcba908b2b72?fccid=4b2d1a4c6fc7ccf8&vjs=3
72,Data Scientist,Nousot,,['Remote'],"$120,000 - $160,000 a year",3 days ago,2021-09-18,https://www.indeed.com/company/Nousot/jobs/Data-Scientist-f3f3756e797112df?fccid=1dd31f56d0c05bb2&vjs=3
73,Data Scientist,S&P Global,3.9,"['Annapolis, MD 21401+15 locations•Remote']","$67,600 - $190,100 a year",2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=35bffe1a1cedb2d4&fccid=b716e44d2c6283e7&vjs=3
74,Senior Data Scientist,Credible,,"['San Francisco, CA 94102 (Van Ness - Civic Center area)']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=556fb292226a8709&fccid=04e8134694cdee5a&vjs=3
75,Data Scientist 1 - Inventory Deployment and Allocation,Nordstrom,3.9,"['Seattle, WA']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=fae33dcf47ec1dda&fccid=68ce5c21322a81a4&vjs=3
76,Data Scientist,"Sway Medical, Inc",,"['Tulsa, OK 74104 (Kendall - Whittier area)']","$90,000 - $115,000 a year",5 days ago,2021-09-18,"https://www.indeed.com/company/Sway-Medical,-Inc/jobs/Data-Scientist-4c1e0306aab9af92?fccid=2acddcdd6d7bed84&vjs=3"
77,"Data Scientist, Personalization",Hungryroot,3.5,"['New York, NY 10010 (Flatiron District area)•Remote']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=10dcea8204cd492b&fccid=a2a22e0f7187af21&vjs=3
78,Data Scientist/ Machine Learning Engineer - Remote,Cardinal Intellectual Property,4.2,"['Dallas, TX+1 location•Remote']",,7 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=aac5a5f84b98d010&fccid=658e73623a2d1bc2&vjs=3
79,Data Scientist,Vanguard,3.7,"['Malvern, PA']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=feec3a813491b31a&fccid=510aa29fcf8f87d9&vjs=3
80,Data Scientist,Visa,3.9,"['Foster City, CA']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=bc34c8b3516fd003&fccid=a3f737e511d9fc8c&vjs=3
81,Data Scientist,Foxo Technologies,,"['Minneapolis, MN 55401 (North Loop area)•Remote']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=e1faa1cef25d6602&fccid=7c5f887862966649&vjs=3
82,Data Scientist,eTelligent Group LLC,,"['Washington, DC']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=55d1ca0b597bb0fc&fccid=572091661516aaf2&vjs=3
83,Data Scientist,Securian Financial Group,3.9,"['Saint Paul, MN 55101 (Downtown area)']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=07672702323067b1&fccid=b073afe1df0ad827&vjs=3
84,Data Scientist (Remote),Improvix Technologies,,"['Reston, VA 20190•Remote']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=8df7cc11b11aa97c&fccid=6d272d724de93397&vjs=3
85,Data Scientist,Utility Associates,,"['Decatur, GA 30030 (Downtown area)']","$110,000 - $135,000 a year",3 days ago,2021-09-18,https://www.indeed.com/company/Utility-Associates/jobs/Data-Scientist-b92c65b47b3b93f1?fccid=9f34a6c6c229cec4&vjs=3
86,Data Scientist,Medtronic,3.9,"['Northridge, CA 91325']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=be769a44829027dd&fccid=f06a4d05bf5510ec&vjs=3
87,"Data Scientist, Intermediate",UVA Medical Center,3.7,"['Charlottesville, VA']","$81,078 - $129,709 a year",4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=d89b92d77b49200d&fccid=ac3ca395d43dcd7d&vjs=3
88,Junior Data Scientist,OM Group Inc.,,"['Reston, VA 20190•Remote']",,4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=fbb96441fc488fcf&fccid=b7dc0a32cb270ce7&vjs=3
89,Associate Data Science Analyst,Scholastic,3.7,"['New York, NY']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=59fd5596c60b7395&fccid=f8bb8eb40f54f89f&vjs=3
90,Data Science Platform Engineer,Iodine Software,,"['Austin, TX 78731']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=f40e131014ec2e61&fccid=060474ef1576996b&vjs=3
91,Staff Data Scientist,Twin Health,,"['Mountain View, CA']",,5 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=0acd3a87ba168b81&fccid=4f8617ef408c69f9&vjs=3
92,Senior Data Scientist,Actium Health,,['Pennsylvania•Remote'],,4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=032e10684e00422a&fccid=dd616958bd9ddc12&vjs=3
93,Data Scientist,Neiman Marcus,3.7,"['Dallas, TX 75039•Remote']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=b486240fb67ea4f8&fccid=7a11eee3ff8b533d&vjs=3
94,Data Scientist,"Alteryx, Inc.",4.0,"['Ann Arbor, MI•Remote']",,5 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=7093dcfcd605bf9d&fccid=4334ccc82f098434&vjs=3
95,Senior Data Scientist - Computer Vision / Machine Learning,"DataSeer, Inc.",,['Remote'],"From $140,000 a year",4 days ago,2021-09-18,"https://www.indeed.com/company/DataSeer,-Inc./jobs/Senior-Data-Scientist-153768c88d77ea26?fccid=77158f60f8b889c8&vjs=3"
96,Data Scientist Consultant II (Remote - Home Based Worker),Allstate,3.7,"['Northbrook, IL•Remote']","$98,100 - $127,000 a year",Just posted,2021-09-18,https://www.indeed.com/rc/clk?jk=84f2dd7f82cb9caa&fccid=3a71a4d2f7990a25&vjs=3
97,"Data Science Fellow, Decision Science",Coursera,4.3,['Remote'],,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=e5b383996c625a0f&fccid=ef63980be6005ec6&vjs=3
98,Data Scientist II,Memorial Sloan-Kettering Cancer Center,4.2,"['New York, NY 10017 (Turtle Bay area)']",,5 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=2d9a2ba3ba461272&fccid=1320c50b75f44505&vjs=3
99,Data Scientist,McDonald's Corporation,3.5,"['Chicago, IL 60607 (West Town area)•Temporarily Remote']",,7 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=dfa866b2476ebcfe&fccid=f753bb1a40104d82&vjs=3
100,"Data Scientist, Genomics",Alldus,,"['New York, NY']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=f85325c0404050dc&fccid=b4df24bc350094d0&vjs=3
101,AI Engineer/Data Scientist,U.S. Bank,3.6,"['Cupertino, CA']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=a5c873966b258ca5&fccid=ae5bfc395c530fbc&vjs=3
102,Data Scientist,Kipu Health,,"['Miami, FL 33134']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=e3408768bb2c9d57&fccid=53e1a5c7ddb9c0cf&vjs=3
103,Principal Data Scientist,Twin Health,,"['Mountain View, CA']",,5 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=afe513ba3191e8df&fccid=4f8617ef408c69f9&vjs=3
104,DAT Sensing Data Scientist,Ford Motor Company,4.1,"['Dearborn, MI']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=cca56a299e238234&fccid=761c44c17d636bfe&vjs=3
105,Data Scientist,VertexOne,,['Remote'],,4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=8b0b63ad39785604&fccid=db5e540be1f4afa3&vjs=3
